id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-11-24T13:27:24;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-11-24T01:20:06;75071;94375
2;program Unbranded;2020-11-24T13:36:24;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-11-24T06:00:55;8068;31806
3;Indian Rupee Ngultrum;2020-11-24T15:34:35;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-11-24T13:00:56;92121;74564
4;transmitting EXE parse;2020-11-24T11:58:25;open architecture;PAID;PAYPAL;2020-11-24T19:02:29;99574;33894
5;attitude-oriented;2020-11-24T06:29:22;Integration structure;CANCELLED;PAYPAL;2020-11-24T08:36:52;72584;98923
6;SDD auxiliary Utah;2020-11-24T09:33:50;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-11-24T00:56:01;7073;6807
7;Customer;2020-11-24T20:00:54;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-11-24T00:17:26;32780;10756
8;Arizona Awesome Fresh Soap system;2020-11-24T06:14:35;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-11-24T06:03:38;50263;19746
9;applications Generic;2020-11-24T04:29:21;Assurance;ISSUED;CASH_ON_DELIVERY;2020-11-24T19:07:00;36970;88317
10;functionalities bifurcated;2020-11-24T14:14:45;Investment Account;PAID;CREDIT_CARD;2020-11-24T14:14:45;94911;93817
