id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-11-23T21:39:08;payment unleash Jamaican Dollar;1
2;Rest;2020-11-24T16:55:38;Plains;2
3;Quality Plastic plum;2020-11-23T21:16:00;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-11-24T17:43:12;Architect SSL;4
5;zero tolerance;2020-11-24T14:39:31;user-facing CSS;5
6;ADP Ouguiya;2020-11-24T10:35:59;Garden;6
7;auxiliary;2020-11-24T18:51:59;functionalities Bedfordshire withdrawal;7
8;Data;2020-11-23T21:50:00;Viaduct hybrid;8
9;mesh;2020-11-24T20:15:39;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-11-24T18:14:33;Re-engineered withdrawal Ball;10
